sku,width,height,depth,keyword,match_confidence,notes,supplier_sources
PW FDB18,18,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
PW FDB21,21,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
PW FDB24,24,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
PW FDB27,27,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
PW FDB30,30,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
PW FDB33,33,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
PW FDB36,36,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
PW FILLER 3X96,3,96,0.75,FILLER,85%,1 supplier confirms W+H+D+keyword,DL
PW FILLER 6X96,6,96,0.75,FILLER,85%,1 supplier confirms W+H+D+keyword,DL
PW FLAT PANEL 27X96,0.75,96,27,PANEL,85%,1 supplier confirms W+H+D+keyword,DL
PW FSB36,36,34.5,24,FARMHOUSE_SINK_BASE,80%,human-confirmed: farmhouse sink base,DL
PW GH30,30,4,12,GLASS_HOLDER,80%,human-confirmed: glass holder (DL prefix PW stripped),DL
PW ICM8,96,0.5,0.5,CORNER,85%,1 supplier confirms W+H+D+keyword,DL
PW LZS33,33,34.5,24,LAZY_SUSAN,85%,1 supplier confirms W+H+D+keyword,DL
PW LZS3612,36,34.5,24,LAZY_SUSAN,85%,1 supplier confirms W+H+D+keyword,DL
PW OVD338427,33,84,27,PANTRY,85%,1 supplier confirms W+H+D+keyword,DL
PW OVD339027,33,90,27,PANTRY,85%,1 supplier confirms W+H+D+keyword,DL
PW OVD339627,33,96,27,PANTRY,85%,1 supplier confirms W+H+D+keyword,DL
PW PAINT,,,9,PAINT,80%,human-confirmed: paint (aerosol can),DL
PW RH36,36,36,24,RANGE_HOOD,85%,1 supplier confirms W+H+D+keyword,DL
PW RRP27(1.5),1.5,96,,REFRIGERATOR,55%,W only confirmed,DL
PW SAMPLE DOOR,15,12,0.75,SAMPLE_DOOR,85%,1 supplier confirms W+H+D+keyword,DL
PW SB30,30,34.5,24,SINK_BASE,85%,1 supplier confirms W+H+D+keyword,DL
PW SB36,36,34.5,24,SINK_BASE,85%,1 supplier confirms W+H+D+keyword,DL
PW SCRIBEMOLDING,96,0.75,0.25,MOLDING,85%,1 supplier confirms W+H+D+keyword,DL
PW SHOEMOLDING,96,0.75,0.75,MOLDING,85%,1 supplier confirms W+H+D+keyword,DL
PW SIDE PANEL 36X96,0.5,96,36,PANEL,85%,1 supplier confirms W+H+D+keyword,DL
PW SKIN PANEL 36X96,96,36,0.125,SKIN_PANEL,85%,1 supplier confirms W+H+D+keyword,DL
PW SP09,09,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
PW SP2436,24,36,0.5,PANEL,85%,1 supplier confirms W+H+D+keyword,DL
PW TK8,96,4.5,0.375,TOE_KICK,85%,1 supplier confirms W+H+D+keyword,DL
PW TLR8,96,1.5,2.3125,MOLDING,85%,1 supplier confirms W+H+D+keyword,DL
PW TOUCHUP KIT,,,,TOUCHUP_KIT,80%,human-confirmed: touch-up kit,DL
PW VAN24,24,34.5,21,VANITY_SINK_BASE,85%,1 supplier confirms W+H+D+keyword,DL
PW VAN30,30,34.5,21,VANITY_SINK_BASE,85%,1 supplier confirms W+H+D+keyword,DL
PW VAN36DL,36,34.5,21,VANITY_BASE,85%,1 supplier confirms W+H+D+keyword,DL
PW VAN36DR,36,34.5,21,VANITY_BASE,85%,1 supplier confirms W+H+D+keyword,DL
PW VDB12,12,34.5,21,VANITY_BASE,85%,1 supplier confirms W+H+D+keyword,DL
PW VDB15,15,34.5,21,VANITY_BASE,85%,1 supplier confirms W+H+D+keyword,DL
PW VDB18,18,34.5,21,VANITY_BASE,85%,1 supplier confirms W+H+D+keyword,DL
PW VDB24,24,34.5,21,VANITY_BASE,85%,1 supplier confirms W+H+D+keyword,DL
PW VSB36,36,34.5,21,VANITY_SINK_BASE,85%,1 supplier confirms W+H+D+keyword,DL
PW W0930,09,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W0936,09,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W0942,09,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W1218,12,18,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W1230,12,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W1236,12,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W1242,12,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W1518,15,18,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W1530,15,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W1536,15,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W1542,15,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W1818,18,18,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W1830,18,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W1836,18,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W1842,18,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W2118,21,18,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W2130,21,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W2136,21,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W2142,21,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W2412,24,12,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W2415,24,15,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W2418,24,18,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W2424,24,24,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W2430,24,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W2436,24,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W2442,24,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W2718,27,18,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W2730,27,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W2736,27,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W2742,27,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W3012,30,12,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W3015,30,15,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W3018,30,18,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W3024,30,24,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W3030,30,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W3036,30,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W3042,30,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W3312,33,12,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W3315,33,15,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W3318,33,18,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W3324,33,24,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W3330,33,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W3336,33,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W3342,33,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W3612,36,12,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W361227,36,12,27,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W3615,36,15,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W361527,36,15,27,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W3618,36,18,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W361827,36,18,27,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W3624,36,24,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W362427,36,24,27,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W3630,36,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W3636,36,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW W3642,36,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW WBC2730,27,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW WBC2736,27,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW WBC2742,27,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW WDC241812,24,18,12,WALL_DIAGONAL_CORNER,85%,1 supplier confirms W+H+D+keyword,DL
PW WDC243012,24,30,12,WALL_DIAGONAL_CORNER,85%,1 supplier confirms W+H+D+keyword,DL
PW WDC243612,24,36,12,WALL_DIAGONAL_CORNER,85%,1 supplier confirms W+H+D+keyword,DL
PW WDC244212,24,42,12,WALL_DIAGONAL_CORNER,85%,1 supplier confirms W+H+D+keyword,DL
PW WDCG243012,24,30,,WALL_DIAGONAL_CORNER,55%,W only confirmed,DL
PW WDCG243612,24,36,0.75,WALL_DIAGONAL_CORNER,85%,1 supplier confirms W+H+D+keyword,DL
PW WDCG244212,24,42,0.75,WALL_DIAGONAL_CORNER,85%,1 supplier confirms W+H+D+keyword,DL
PW WDD30,12,30,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW WDD36,12,36,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW WDD42,12,42,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW WEOS0930,9,30,12,WALL_END,85%,1 supplier confirms W+H+D+keyword,DL
PW WEOS0936,9,36,12,WALL_END,85%,1 supplier confirms W+H+D+keyword,DL
PW WEOS0942,9,42,12,WALL_END,85%,1 supplier confirms W+H+D+keyword,DL
PW WF3 30,3,30,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW WF3 36,3,36,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW WF3 42,3,42,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW WF6 42,6,42,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW WG1230,12,30,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW WG1236,12,36,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW WG1242,12,42,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW WG1530,15,30,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW WG1536,15,36,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW WG1542,15,42,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW WG1830,18,30,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW WG1836,18,36,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW WG1842,18,42,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
PW WMC3018,30,18,12,WALL_MICROWAVE,85%,1 supplier confirms W+H+D+keyword,DL
PW WP188427,18,84,27,TALL_PANTRY,85%,1 supplier confirms W+H+D+keyword,DL
PW WP189027,18,90,27,TALL_PANTRY,85%,1 supplier confirms W+H+D+keyword,DL
PW WP189627,18,96,27,TALL_PANTRY,85%,1 supplier confirms W+H+D+keyword,DL
PW WP248427,24,84,27,TALL_PANTRY,85%,1 supplier confirms W+H+D+keyword,DL
PW WP249027,24,90,27,TALL_PANTRY,85%,1 supplier confirms W+H+D+keyword,DL
PW WP249627,24,96,27,TALL_PANTRY,85%,1 supplier confirms W+H+D+keyword,DL
PW WP308427,30,84,27,TALL_PANTRY,85%,1 supplier confirms W+H+D+keyword,DL
PW WP309027,30,90,27,TALL_PANTRY,85%,1 supplier confirms W+H+D+keyword,DL
PW WP309627,30,96,27,TALL_PANTRY,85%,1 supplier confirms W+H+D+keyword,DL
PW WRC3018,30,18,12,WALL_WINE_RACK,85%,1 supplier confirms W+H+D+keyword,DL
Piano Grey - Sample Door,,,,SAMPLE_DOOR,80%,batch-pattern: pattern: sample door,CABINET_STONE
Piano White - Sample Door,,,,SAMPLE_DOOR,80%,batch-pattern: pattern: sample door,CABINET_STONE
QR,,,,MOLDING,80%,pattern-matched: QR* → MOLDING,
QR8,,,,MOLDING,80%,pattern-matched: QR* → MOLDING,
RCM4S,,3.75,,CROWN,50%,"canonical keyword, no supplier confirmation",
RCM4S(LCM),96,3.3125,2.5,CROWN,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
RD18,18,,,ROLL_OUT_DRAWER,80%,pattern-matched: RD* → ROLL_OUT_DRAWER,
RD18NM,13.9375,3.6875,20,ROLL_OUT_DRAWER,85%,1 supplier confirms W+H+D+keyword,GHI
RD21,21,,,ROLL_OUT_DRAWER,80%,pattern-matched: RD* → ROLL_OUT_DRAWER,
RD24,24,,,ROLL_OUT_DRAWER,80%,pattern-matched: RD* → ROLL_OUT_DRAWER,
RD24NM,19.9375,3.6875,20,ROLL_OUT_DRAWER,85%,1 supplier confirms W+H+D+keyword,GHI
RD27,27,,,ROLL_OUT_DRAWER,80%,pattern-matched: RD* → ROLL_OUT_DRAWER,
RD30,30,,,ROLL_OUT_DRAWER,80%,pattern-matched: RD* → ROLL_OUT_DRAWER,
RD30NM,25.9375,3.6875,20,ROLL_OUT_DRAWER,85%,1 supplier confirms W+H+D+keyword,GHI
RD33,33,,,ROLL_OUT_DRAWER,80%,pattern-matched: RD* → ROLL_OUT_DRAWER,
RD33 Elegant White,33,,,ROLL_OUT_DRAWER,80%,pattern-matched: RD* → ROLL_OUT_DRAWER,
RD33 Metallic Shaker,33,,,ROLL_OUT_DRAWER,80%,pattern-matched: RD* → ROLL_OUT_DRAWER,
RD36,36,,,ROLL_OUT_DRAWER,80%,pattern-matched: RD* → ROLL_OUT_DRAWER,
RD36NM,31.9375,3.6875,20,ROLL_OUT_DRAWER,85%,1 supplier confirms W+H+D+keyword,GHI
REF9624,,,,REFRIGERATOR,80%,pattern-matched: REF* → REFRIGERATOR,
REF9636,,,,REFRIGERATOR,80%,pattern-matched: REF* → REFRIGERATOR,
REP1.596,1.5,96,,FILLER,50%,"canonical keyword, no supplier confirmation",
REPV2496,1.5,96,24,REFRIGERATOR,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
REPV2796,1.5,96,27,REFRIGERATOR,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
RF1596,1.5,96,0.75,FILLER,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
RH30,,,,RANGE_HOOD,80%,pattern-matched: RH* → RANGE_HOOD,
RH36,,,,RANGE_HOOD,80%,pattern-matched: RH* → RANGE_HOOD,
ROPE,96,0.75,0.375,MOULDING,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
ROSETTE33,,,,ROSETTE,80%,human-confirmed: decorative rosette,
ROSETTE3X3,,,,ROSETTE,80%,human-confirmed: decorative rosette,
ROT15,,,,ROLL_OUT_TRAY,80%,pattern-matched: ROT* → ROLL_OUT_TRAY,
ROT18,,,,ROLL_OUT_TRAY,80%,pattern-matched: ROT* → ROLL_OUT_TRAY,
ROT21,,,,ROLL_OUT_TRAY,80%,pattern-matched: ROT* → ROLL_OUT_TRAY,
ROT24,,,,ROLL_OUT_TRAY,80%,pattern-matched: ROT* → ROLL_OUT_TRAY,
ROT27,,,,ROLL_OUT_TRAY,80%,pattern-matched: ROT* → ROLL_OUT_TRAY,
ROT30,,,,ROLL_OUT_TRAY,80%,pattern-matched: ROT* → ROLL_OUT_TRAY,
ROT33,,,,ROLL_OUT_TRAY,80%,pattern-matched: ROT* → ROLL_OUT_TRAY,
ROT36,,,,ROLL_OUT_TRAY,80%,pattern-matched: ROT* → ROLL_OUT_TRAY,
ROT39,,,,ROLL_OUT_TRAY,80%,pattern-matched: ROT* → ROLL_OUT_TRAY,
RP84,24,84,0.5,REFRIGERATOR,85%,1 supplier confirms W+H+D+keyword,GHI
RP84-LW,24,84,0.5,REFRIGERATOR,85%,1 supplier confirms W+H+D+keyword,GHI
RP84-PCG,24,84,0.5,REFRIGERATOR,85%,1 supplier confirms W+H+D+keyword,GHI
RP90,24,90,0.5,REFRIGERATOR,85%,1 supplier confirms W+H+D+keyword,GHI
RP90-LW,24,90,0.5,REFRIGERATOR,85%,1 supplier confirms W+H+D+keyword,GHI
RP90-PCG,24,90,0.5,REFRIGERATOR,85%,1 supplier confirms W+H+D+keyword,GHI
RP96,24,96,0.5,REFRIGERATOR,85%,1 supplier confirms W+H+D+keyword,GHI
RP96-LW,24,96,0.5,REFRIGERATOR,85%,1 supplier confirms W+H+D+keyword,GHI
RP96-PCG,24,96,0.5,REFRIGERATOR,85%,1 supplier confirms W+H+D+keyword,GHI
RPM8,,,,,35%,"found in DURASTONE, no parseable dims",
RPV30,,,,REFRIGERATOR,80%,pattern-matched: RPV* → REFRIGERATOR,
RPV36,,,,REFRIGERATOR,80%,pattern-matched: RPV* → REFRIGERATOR,
RR96,24,96,0.5,SKIN_PANEL,80%,"human-confirmed: panel (RR stripped), D=0.25 thickness",CABINET_STONE
RRP24,24,,0.25,REFRIGERATOR_PANEL,80%,human-confirmed: refrigerator panel,
RRP2496,24,96,0.25,REFRIGERATOR_PANEL,80%,human-confirmed: refrigerator panel,
RRP25,25,,0.25,REFRIGERATOR_PANEL,80%,human-confirmed: refrigerator panel,
RRP27,27,,0.25,REFRIGERATOR_PANEL,80%,human-confirmed: refrigerator panel,
RRP27(1.5),27,,0.25,REFRIGERATOR_PANEL,80%,human-confirmed: refrigerator panel,
RRP271.5,,,0.25,REFRIGERATOR_PANEL,80%,human-confirmed: refrigerator panel,
RRP2796,27,96,0.25,REFRIGERATOR_PANEL,80%,human-confirmed: refrigerator panel,
RRP96,96,,0.25,REFRIGERATOR_PANEL,80%,human-confirmed: refrigerator panel,
"RRPF 1-1/2""",1.5,96,0.25,SKIN_PANEL,80%,"human-confirmed: panel (RR stripped), D=0.25 thickness",
RRPF 3*118,3,118,0.25,SKIN_PANEL,80%,"human-confirmed: panel (RR stripped), D=0.25 thickness",
RRPF 3*120,3,120,0.25,SKIN_PANEL,80%,"human-confirmed: panel (RR stripped), D=0.25 thickness",
"RRPF1-1/2""",1.5,96,0.25,SKIN_PANEL,80%,"human-confirmed: panel (RR stripped), D=0.25 thickness",
"RRPF1-1/2"" Antique White",1.5,96,0.25,SKIN_PANEL,80%,"human-confirmed: panel (RR stripped), D=0.25 thickness",
"RRPF1-1/2"",Cognac",1.5,96,0.25,SKIN_PANEL,80%,"human-confirmed: panel (RR stripped), D=0.25 thickness",
RRPF11,,,,REFRIGERATOR_FILLER,80%,human-confirmed: refrigerator filler,
RRPF11.5,1.5,96,0.25,SKIN_PANEL,80%,"human-confirmed: panel (RR stripped), D=0.25 thickness",
RRPF3*120,3,120,0.25,SKIN_PANEL,80%,"human-confirmed: panel (RR stripped), D=0.25 thickness",
"RRPF3*120""",3,120,0.25,SKIN_PANEL,80%,"human-confirmed: panel (RR stripped), D=0.25 thickness",
RRPF31,,,,REFRIGERATOR_FILLER,80%,human-confirmed: refrigerator filler,
RS18,17,3.25,21,ROLL_OUT_SHELF,80%,human-confirmed: roll-out shelf,LOVE_MILESTONE
RS21,20,3.25,21,ROLL_OUT_SHELF,80%,human-confirmed: roll-out shelf,LOVE_MILESTONE
RS24,23,3.25,21,ROLL_OUT_SHELF,80%,human-confirmed: roll-out shelf,LOVE_MILESTONE
RS27,26,3.25,21,ROLL_OUT_SHELF,80%,human-confirmed: roll-out shelf,LOVE_MILESTONE
RS30,29,3.25,21,ROLL_OUT_SHELF,80%,human-confirmed: roll-out shelf,LOVE_MILESTONE
RS33,32,3.25,21,ROLL_OUT_SHELF,80%,human-confirmed: roll-out shelf,LOVE_MILESTONE
RS36,35,3.25,21,ROLL_OUT_SHELF,80%,human-confirmed: roll-out shelf,LOVE_MILESTONE
S2496,24,96,0.75,SKIN_PANEL,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
SAMPLE DOOR PACK (2025),,,,SAMPLE_DOOR,80%,batch-pattern: pattern: sample door,DL
SB15MINI,12,24,1.5,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
SB24,,34.5,24,SINK_BASE,80%,human-confirmed: sink base cabinet,
SB27,27,34.5,24,SINK_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
SB30,30,34.5,24,SINK_BASE,85%,1 supplier confirms W+H+D+keyword,GHI|LOVE_MILESTONE
SB30 BOX,30,34.5,24,SINK_BASE,80%,human-confirmed: sink base cabinet,
SB30-PCG,,34.5,24,SINK_BASE,80%,human-confirmed: sink base cabinet,GHI
SB30/VSB30-F,,34.5,24,SINK_BASE,80%,human-confirmed: sink base cabinet,
SB33,33,34.5,24,SINK_BASE,92%,2 suppliers confirm W+H+D+keyword,CABINET_STONE|GHI|LOVE_MILESTONE
SB33 BOX,33,34.5,24,SINK_BASE,80%,human-confirmed: sink base cabinet,
SB33-F,,34.5,24,SINK_BASE,80%,human-confirmed: sink base cabinet,
SB33-PCG,,34.5,24,SINK_BASE,80%,human-confirmed: sink base cabinet,GHI
SB36,36,34.5,24,SINK_BASE,92%,3 suppliers confirm W+H+D+keyword,CABINET_STONE|GHI|LOVE_MILESTONE
SB36 BOX,36,34.5,24,SINK_BASE,80%,human-confirmed: sink base cabinet,
SB36-CCB,,34.5,24,SINK_BASE,80%,human-confirmed: sink base cabinet,GHI
SB36-PCG,,34.5,24,SINK_BASE,80%,human-confirmed: sink base cabinet,GHI
SB36/VSB36-F,,34.5,24,SINK_BASE,80%,human-confirmed: sink base cabinet,
SB39,39,34.5,24,SINK_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
SB42,42,34.5,24,SINK_BASE,92%,2 suppliers confirm W+H+D+keyword,GHI|LOVE_MILESTONE
SB42 BOX,42,34.5,24,SINK_BASE,80%,human-confirmed: sink base cabinet,
SB42-F,,34.5,24,SINK_BASE,80%,human-confirmed: sink base cabinet,
SB42-PCG,,34.5,24,SINK_BASE,80%,human-confirmed: sink base cabinet,GHI
SB60,60,34.5,24,SINK_BASE,85%,1 supplier confirms W+H+D+keyword,GHI
SB60-PCG,,34.5,24,SINK_BASE,80%,human-confirmed: sink base cabinet,GHI
SBF4242,42,42,23.25,SINK_BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
SBS13*9,3.5,12,10,CORBEL,80%,human-confirmed: corbel (corrected from SINK_BASE),
SBS36*7,7,36,7,CORBEL,80%,human-confirmed: corbel (corrected from SINK_BASE),
SBS8-1/2,,34.5,24,CORBEL,80%,human-confirmed: corbel (corrected from SINK_BASE),
SBS9*6,6,9.5,6,CORBEL,80%,human-confirmed: corbel (corrected from SINK_BASE),
SC3027,,,,SPICE_CABINET,80%,batch-pattern: pattern: SC spice cabinet,GHI
SC3627,,,,SPICE_CABINET,80%,batch-pattern: pattern: SC spice cabinet,GHI
SCG,,,,,45%,"found in GHI, no parseable dims",GHI
SCH114,,,,SHELF,80%,batch-pattern: pattern: SCH shelf/hardware,GHI
SCH138,,,,SHELF,80%,batch-pattern: pattern: SCH shelf/hardware,GHI
SCHWDC,,,,SHELF,80%,batch-pattern: pattern: SCH shelf/hardware,GHI
SCM7,0.25,0.75,,MOLDING,55%,W only confirmed,GHI
SCM7-CCB,0.25,0.75,,MOLDING,55%,W only confirmed,GHI
SCM7-LW,0.25,0.75,,MOLDING,55%,W only confirmed,GHI
SCM7-PCG,0.25,0.75,,MOLDING,55%,W only confirmed,GHI
SCM8,,,,MOLDING,50%,"canonical keyword, no supplier confirmation",
SD,11,15,0.75,SAMPLE_DOOR,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
SGH30,30,,11.875,GLASS_HOLDER,80%,human-confirmed: glass holder,GHI|LOVE_MILESTONE
SGH30-PCG,30,,11.875,GLASS_HOLDER,80%,human-confirmed: glass holder,GHI
SHM,96,0.6875,0.6875,MOULDING,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
SHOE MOLDING,,,,MOLDING,50%,"canonical keyword, no supplier confirmation",
SINK TS3322,,,,VANITY_SINK_BASE,80%,"human-confirmed: vanity sink base (edge case, dims from SKU)",DL
SINK TS3322L,,,,VANITY_SINK_BASE,80%,"human-confirmed: vanity sink base (edge case, dims from SKU)",DL
SINK UD3322F,,,,VANITY_SINK_BASE,80%,"human-confirmed: vanity sink base (edge case, dims from SKU)",DL
SINK US2719L,,,,VANITY_SINK_BASE,80%,"human-confirmed: vanity sink base (edge case, dims from SKU)",DL
SINK US3219D,,,,VANITY_SINK_BASE,80%,"human-confirmed: vanity sink base (edge case, dims from SKU)",DL
SINK US3219LB,,,,VANITY_SINK_BASE,80%,"human-confirmed: vanity sink base (edge case, dims from SKU)",DL
SINK VR3218D,,,,VANITY_SINK_BASE,80%,"human-confirmed: vanity sink base (edge case, dims from SKU)",DL
SINK VR3218S,,,,VANITY_SINK_BASE,80%,"human-confirmed: vanity sink base (edge case, dims from SKU)",DL
SINK VS2718S,,,,VANITY_SINK_BASE,80%,"human-confirmed: vanity sink base (edge case, dims from SKU)",DL
SINK VS3218S,,,,VANITY_SINK_BASE,80%,"human-confirmed: vanity sink base (edge case, dims from SKU)",DL
SINK VS5050D,,,,VANITY_SINK_BASE,80%,"human-confirmed: vanity sink base (edge case, dims from SKU)",DL
SINK VS6040D,,,,VANITY_SINK_BASE,80%,"human-confirmed: vanity sink base (edge case, dims from SKU)",DL
SINK VT3322D,,,,VANITY_SINK_BASE,80%,"human-confirmed: vanity sink base (edge case, dims from SKU)",DL
SINK VT3322S,,,,VANITY_SINK_BASE,80%,"human-confirmed: vanity sink base (edge case, dims from SKU)",DL
SM,96,0.75,0.125,MOLDING,85%,1 supplier confirms W+H+D+keyword,CABINET_STONE
SM1719,,,,MOLDING,80%,pattern-matched: SM* → MOLDING,GHI
SM1926,,,,MOLDING,80%,pattern-matched: SM* → MOLDING,GHI
SM2426,,,,MOLDING,80%,pattern-matched: SM* → MOLDING,GHI
SM3030,,,,MOLDING,80%,pattern-matched: SM* → MOLDING,GHI
SM3630,,,,MOLDING,80%,pattern-matched: SM* → MOLDING,GHI
SM7,,,,MOLDING,80%,pattern-matched: SM* → MOLDING,
SM8,3.5,2.37,0.25,MOLDING,55%,W only confirmed,GHI
SM8(SCR),96,0.75,0.25,MOULDING,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
SM8-PCG,3.5,2.37,,CROWN,55%,W only confirmed,GHI
SP24X42,23.875,42,0.1875,PANTRY,85%,1 supplier confirms W+H+D+keyword,GHI
SP24X54,23.875,54,0.1875,PANTRY,85%,1 supplier confirms W+H+D+keyword,GHI
SP24X54-CCB,23.875,54,0.1875,PANTRY,85%,1 supplier confirms W+H+D+keyword,GHI
SP24X54-PCG,23.875,54,0.1875,PANTRY,85%,1 supplier confirms W+H+D+keyword,GHI
SP3*36,,36,,LEG,80%,human-confirmed: leg,
SP3*36(A),,36,,LEG,80%,human-confirmed: leg,
SP34,,34.5,,LEG,80%,human-confirmed: leg,
SP4.5*36,,36,,LEG,80%,human-confirmed: leg,
SP4.5*36 Metallic Shaker,,,,LEG,80%,human-confirmed: leg,
SPB6,6,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
SPB9,9,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
SRINM,5,24.75,,SPICE_RACK,80%,batch-pattern: pattern: SRI spice rack insert,GHI
SSA 2DB30,30,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
